,Accuracy,ChoseViolation,Item,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
35036,1.0,0,361,1,7831,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,86,Place,0
35037,1.0,0,343,1,13209,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,87,Voicing,0
35038,1.0,0,394,1,4865,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,88,Place,0
35039,1.0,1,301,1,8001,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,89,Voicing,0
35040,1.0,0,376,1,3096,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,90,Place,0
35041,1.0,1,286,1,6282,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,91,Voicing,1
35044,1.0,0,403,1,4653,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,94,Place,1
35045,1.0,0,334,1,9135,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,95,Voicing,0
35046,1.0,0,382,1,4364,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,96,Place,0
35047,1.0,1,307,1,5303,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,97,Voicing,0
35048,1.0,0,349,1,5118,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,98,Place,1
35049,1.0,0,322,1,5710,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,99,Voicing,0
35050,1.0,0,391,1,3771,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,100,Place,1
35053,1.0,1,292,1,4295,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,103,Voicing,0
35054,1.0,0,388,1,2996,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,104,Place,0
35055,1.0,1,298,1,4389,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,105,Voicing,0
35056,1.0,0,355,1,3443,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,106,Place,1
35057,1.0,0,328,1,5883,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,107,Voicing,1
35058,1.0,0,397,1,3556,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,108,Place,0
35059,1.0,0,325,1,5177,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,109,Voicing,1
35060,1.0,1,346,1,9029,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,110,Place,1
35061,1.0,0,340,1,9112,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,111,Voicing,0
35062,1.0,1,364,1,18100,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,112,Place,1
35063,1.0,1,313,1,5334,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,113,Voicing,0
35065,1.0,1,304,1,6291,d,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,115,Voicing,1
35066,1.0,0,385,1,6320,ng,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,116,Place,0
35067,1.0,0,319,1,8131,b,A2TT0LIJAMXB9Q,*DF,PlaceAssimilation,117,Voicing,1
35068,1.0,0,370,1,6436,n,A2TT0LIJAMXB9Q,*NF,PlaceAssimilation,118,Place,1
35147,0.75,1,343,1,3483,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,70,Voicing,0
35150,0.75,1,367,1,2843,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,73,Place,0
35151,0.75,1,316,1,3814,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,74,Voicing,1
35153,0.75,1,310,1,2359,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,76,Voicing,0
35154,0.75,1,385,1,2847,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,77,Place,0
35156,0.75,1,382,1,2387,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,79,Place,1
35157,0.75,1,307,1,2867,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,80,Voicing,1
35159,0.75,1,295,1,1831,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,82,Voicing,0
35160,0.75,1,397,1,4131,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,83,Place,0
35161,0.75,1,331,1,4130,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,84,Voicing,1
35162,0.75,1,403,1,2039,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,85,Place,1
35163,0.75,1,301,1,1830,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,86,Voicing,0
35164,0.75,1,349,1,2879,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,87,Place,0
35165,0.75,1,286,1,3040,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,88,Voicing,0
35166,0.75,1,370,1,2636,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,89,Place,1
35167,0.75,0,292,1,3251,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,90,Voicing,0
35168,0.75,1,394,1,2375,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,91,Place,0
35169,0.75,1,304,1,2471,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,92,Voicing,0
35170,0.75,1,388,1,4116,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,93,Place,0
35171,0.75,1,298,1,2490,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,94,Voicing,0
35172,0.75,1,391,1,1648,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,95,Place,0
35173,0.75,0,328,1,2536,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,96,Voicing,1
35174,0.75,1,364,1,3667,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,97,Place,0
35175,0.75,1,322,1,2099,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,98,Voicing,0
35176,0.75,1,361,1,2275,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,99,Place,0
35178,0.75,1,379,1,2330,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,101,Place,1
35179,0.75,1,340,1,3272,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,102,Voicing,0
35180,0.75,1,352,1,3483,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,103,Place,0
35181,0.75,1,334,1,1648,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,104,Voicing,1
35182,0.75,1,373,1,2094,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,105,Place,1
35183,0.75,1,319,1,2263,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,106,Voicing,0
35184,0.75,1,346,1,1920,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,107,Place,1
35185,0.75,1,325,1,2131,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,108,Voicing,0
35186,0.75,1,400,1,1999,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,109,Place,0
35187,0.75,0,337,1,4071,b,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,110,Voicing,1
35188,0.75,1,355,1,1660,ng,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,111,Place,1
35190,0.75,1,358,1,1976,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,113,Place,0
35191,0.75,1,289,1,3004,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,114,Voicing,1
35192,0.75,1,376,1,1962,n,A2TZ7BP3AX31FC,*NF,PlaceAssimilation,115,Place,1
35193,0.75,1,313,1,2443,d,A2TZ7BP3AX31FC,*DF,PlaceAssimilation,116,Voicing,1
35273,0.95,0,403,1,7368,ng,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,69,Place,0
35274,0.95,0,343,1,6433,b,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,70,Voicing,0
35275,0.95,1,346,1,3118,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,71,Place,1
35276,0.95,1,322,1,4708,b,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,72,Voicing,1
35277,0.95,1,358,1,5741,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,73,Place,0
35280,0.95,1,316,1,8934,b,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,76,Voicing,1
35281,0.95,0,352,1,4300,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,77,Place,0
35283,0.95,0,370,1,5302,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,79,Place,1
35285,0.95,0,349,1,17594,ng,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,81,Place,1
35286,0.95,0,307,1,5150,d,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,82,Voicing,1
35287,0.95,0,388,1,3982,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,83,Place,0
35288,0.95,1,319,1,6270,b,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,84,Voicing,1
35289,0.95,1,391,1,6342,ng,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,85,Place,1
35291,0.95,1,379,1,10334,ng,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,87,Place,0
35292,0.95,1,334,1,4638,b,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,88,Voicing,0
35293,0.95,0,382,1,3350,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,89,Place,1
35295,0.95,1,400,1,5566,n,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,91,Place,1
35296,0.95,1,289,1,3766,d,A2U0PGDD0O1GBR,*DF,PlaceAssimilation,92,Voicing,0
35297,0.95,1,355,1,5822,ng,A2U0PGDD0O1GBR,*NF,PlaceAssimilation,93,Place,1
